,Rank,Player 1,Player 2,Stage,Winner
442,master-diamond,Samus,Fox,Final Destination,Player 2
443,diamond-diamond,Fox,Falco,Dream Land,Player 2
444,platinum-platinum,Fox,Falco,Pokémon Stadium,Player 2
445,master-master,Fox,Fox,Battlefield,Player 2
446,platinum-platinum,Fox,Yoshi,Yoshi’s Story,Player 2
447,master-platinum,Sheik,Falco,Pokémon Stadium,Player 1
448,master-platinum,Fox,Fox,Final Destination,Player 1
449,master-diamond,Sheik,Ice Climbers,Final Destination,Player 1
450,master-platinum,Peach,Captain Falcon,Dream Land,Player 1
451,master-diamond,Falco,Fox,Pokémon Stadium,Player 1
452,platinum-platinum,Samus,Peach,Battlefield,Player 1
453,master-diamond,Fox,Falco,Dream Land,Player 2
454,platinum-platinum,Jigglypuff,Peach,Fountain of Dreams,Player 1
455,platinum-diamond,Falco,Jigglypuff,Battlefield,Player 2
456,master-master,Samus,Falco,Battlefield,Player 2
457,master-master,Samus,Yoshi,Final Destination,Player 2
458,master-platinum,Fox,Captain Falcon,Yoshi’s Story,Player 1
459,diamond-diamond,Fox,Fox,Final Destination,Player 2
460,diamond-diamond,Marth,Link,Yoshi’s Story,Player 1
461,platinum-platinum,Fox,Falco,Dream Land,Player 1
462,diamond-diamond,Mewtwo,Fox,Pokémon Stadium,Player 1
463,platinum-diamond,Fox,Dr. Mario,Final Destination,Player 2
464,diamond-diamond,Samus,Sheik,Final Destination,Player 2
465,platinum-platinum,Mewtwo,Falco,Pokémon Stadium,Player 2
466,master-master,Sheik,Falco,Dream Land,Player 1
467,diamond-diamond,Fox,Jigglypuff,Final Destination,Player 1
468,master-platinum,Peach,Donkey Kong,Pokémon Stadium,Player 1
469,platinum-platinum,Captain Falcon,Dr. Mario,Dream Land,Player 1
470,master-diamond,Fox,Jigglypuff,Pokémon Stadium,Player 1
471,master-platinum,Jigglypuff,Falco,Yoshi’s Story,Player 1
472,platinum-diamond,Captain Falcon,Sheik,Final Destination,Player 1
473,master-master,Sheik,Ice Climbers,Final Destination,Player 2
474,master-diamond,Fox,Marth,Pokémon Stadium,Player 2
475,diamond-diamond,Luigi,Fox,Final Destination,Player 1
476,platinum-diamond,Peach,Fox,Dream Land,Player 1
477,diamond-diamond,Marth,Fox,Pokémon Stadium,Player 2
478,master-master,Captain Falcon,Jigglypuff,Yoshi’s Story,Player 1
479,platinum-platinum,Captain Falcon,Marth,Final Destination,Player 1
480,master-platinum,Marth,Fox,Yoshi’s Story,Player 1
481,platinum-platinum,Jigglypuff,Marth,Fountain of Dreams,Player 2
482,master-master,Yoshi,Young Link,Battlefield,Player 2
483,master-diamond,Falco,Fox,Battlefield,Player 1
484,diamond-diamond,Marth,Mario,Battlefield,Player 2
485,diamond-diamond,Ice Climbers,Falco,Pokémon Stadium,Player 2
486,master-diamond,Fox,Falco,Final Destination,Player 1
487,master-master,Captain Falcon,Marth,Battlefield,Player 1
488,diamond-diamond,Falco,Falco,Final Destination,Player 2
489,master-diamond,Jigglypuff,Ganondorf,Final Destination,Player 1
490,platinum-platinum,Captain Falcon,Ness,Yoshi’s Story,Player 1
491,master-diamond,Falco,Samus,Pokémon Stadium,Player 1
492,diamond-diamond,Ganondorf,Falco,Yoshi’s Story,Player 2
493,master-master,Donkey Kong,Young Link,Final Destination,Player 1
494,platinum-diamond,Marth,Fox,Fountain of Dreams,Player 1
495,master-master,Samus,Bowser,Pokémon Stadium,Player 1
496,master-master,Marth,Peach,Fountain of Dreams,Player 1
497,master-diamond,Marth,Jigglypuff,Final Destination,Player 2
498,diamond-diamond,Falco,Sheik,Final Destination,Player 1
499,master-diamond,Jigglypuff,Peach,Battlefield,Player 1
500,platinum-platinum,Fox,Yoshi,Final Destination,Player 1
501,platinum-platinum,Fox,Captain Falcon,Final Destination,Player 2
502,master-platinum,Fox,Marth,Pokémon Stadium,Player 2
503,master-diamond,Captain Falcon,Sheik,Yoshi’s Story,Player 1
504,master-diamond,Marth,Marth,Battlefield,Player 2
505,platinum-diamond,Captain Falcon,Falco,Yoshi’s Story,Player 1
506,master-diamond,Marth,Fox,Dream Land,Player 1
507,master-diamond,Fox,Fox,Final Destination,Player 1
508,platinum-diamond,Fox,Falco,Dream Land,Player 2
509,master-platinum,Samus,Peach,Pokémon Stadium,Player 1
510,master-platinum,Captain Falcon,Fox,Final Destination,Player 1
511,master-master,Jigglypuff,Falco,Final Destination,Player 2
512,master-diamond,Peach,Peach,Final Destination,Player 1
513,master-master,Ganondorf,Fox,Dream Land,Player 1
514,master-platinum,Captain Falcon,Captain Falcon,Battlefield,Player 2
515,master-diamond,Fox,Falco,Fountain of Dreams,Player 1
516,master-diamond,Falco,Fox,Yoshi’s Story,Player 2
517,platinum-diamond,Falco,Ness,Fountain of Dreams,Player 2
518,master-master,Samus,Sheik,Dream Land,Player 2
519,master-diamond,Marth,Fox,Pokémon Stadium,Player 1
520,diamond-diamond,Fox,Samus,Yoshi’s Story,Player 1
521,platinum-diamond,Falco,Falco,Yoshi’s Story,Player 1
522,platinum-diamond,Jigglypuff,Falco,Final Destination,Player 1
523,master-diamond,Yoshi,Falco,Yoshi’s Story,Player 1
524,master-master,Marth,Fox,Battlefield,Player 2
525,diamond-diamond,Fox,Captain Falcon,Pokémon Stadium,Player 2
526,diamond-diamond,Falco,Mr. Game & Watch,Final Destination,Player 1
527,diamond-diamond,Fox,Yoshi,Pokémon Stadium,Player 2
528,master-platinum,Samus,Captain Falcon,Battlefield,Player 2
529,diamond-diamond,Sheik,Fox,Final Destination,Player 1
530,master-platinum,Fox,Marth,Final Destination,Player 1
531,master-diamond,Fox,Zelda/Sheik,Yoshi’s Story,Player 2
532,diamond-diamond,Sheik,Falco,Pokémon Stadium,Player 2
533,master-diamond,Falco,Samus,Pokémon Stadium,Player 1
534,diamond-diamond,Dr. Mario,Mewtwo,Pokémon Stadium,Player 2
535,diamond-diamond,Dr. Mario,Peach,Battlefield,Player 1
536,master-diamond,Sheik,Mr. Game & Watch,Fountain of Dreams,Player 2
537,diamond-diamond,Captain Falcon,Jigglypuff,Pokémon Stadium,Player 1
538,platinum-platinum,Peach,Falco,Final Destination,Player 2
539,master-diamond,Fox,Luigi,Final Destination,Player 2
540,diamond-diamond,Fox,Sheik,Final Destination,Player 2
541,diamond-diamond,Falco,Marth,Yoshi’s Story,Player 2
542,platinum-diamond,Fox,Mr. Game & Watch,Final Destination,Player 1
543,diamond-diamond,Falco,Ganondorf,Yoshi’s Story,Player 2
544,platinum-diamond,Falco,Falco,Fountain of Dreams,Player 2
545,platinum-platinum,Peach,Marth,Final Destination,Player 1
546,diamond-diamond,Sheik,Falco,Yoshi’s Story,Player 2
547,platinum-platinum,Falco,Fox,Yoshi’s Story,Player 2
548,diamond-diamond,Marth,Fox,Final Destination,Player 1
549,master-platinum,Fox,Samus,Battlefield,Player 2
550,master-master,Captain Falcon,Yoshi,Yoshi’s Story,Player 1
551,master-platinum,Marth,Captain Falcon,Yoshi’s Story,Player 2
552,platinum-platinum,Falco,Fox,Battlefield,Player 1
553,master-platinum,Fox,Sheik,Final Destination,Player 2
554,platinum-diamond,Jigglypuff,Falco,Yoshi’s Story,Player 1
555,diamond-diamond,Marth,Ice Climbers,Yoshi’s Story,Player 2
556,platinum-diamond,Captain Falcon,Ganondorf,Final Destination,Player 2
557,master-platinum,Falco,Captain Falcon,Battlefield,Player 1
558,platinum-platinum,Sheik,Falco,Fountain of Dreams,Player 2
559,master-platinum,Marth,Fox,Final Destination,Player 2
560,master-master,Peach,Ganondorf,Final Destination,Player 1
561,diamond-diamond,Bowser,Falco,Yoshi’s Story,Player 1
562,diamond-diamond,Falco,Dr. Mario,Yoshi’s Story,Player 1
563,platinum-platinum,Captain Falcon,Peach,Battlefield,Player 1
564,master-master,Jigglypuff,Peach,Final Destination,Player 2
565,diamond-diamond,Samus,Jigglypuff,Dream Land,Player 2
566,master-master,Sheik,Falco,Fountain of Dreams,Player 1
567,master-diamond,Marth,Fox,Final Destination,Player 1
568,master-platinum,Fox,Marth,Pokémon Stadium,Player 1
569,diamond-diamond,Marth,Falco,Pokémon Stadium,Player 1
570,master-diamond,Falco,Fox,Battlefield,Player 2
571,master-diamond,Sheik,Fox,Pokémon Stadium,Player 1
572,master-diamond,Jigglypuff,Peach,Fountain of Dreams,Player 2
573,diamond-diamond,Ice Climbers,Samus,Final Destination,Player 2
574,master-master,Yoshi,Samus,Battlefield,Player 1
575,master-master,Pikachu,Peach,Yoshi’s Story,Player 2
576,master-master,Sheik,Fox,Dream Land,Player 1
577,master-diamond,Falco,Jigglypuff,Final Destination,Player 2
578,platinum-platinum,Donkey Kong,Falco,Yoshi’s Story,Player 2
579,diamond-diamond,Fox,Ness,Final Destination,Player 2
580,platinum-platinum,Fox,Peach,Final Destination,Player 1
581,platinum-diamond,Marth,Captain Falcon,Pokémon Stadium,Player 1
582,master-master,Ice Climbers,Peach,Yoshi’s Story,Player 2
583,platinum-diamond,Falco,Falco,Pokémon Stadium,Player 2
584,platinum-diamond,Marth,Falco,Yoshi’s Story,Player 1
585,platinum-platinum,Marth,Marth,Final Destination,Player 2
586,platinum-platinum,Fox,Fox,Pokémon Stadium,Player 1
587,platinum-diamond,Captain Falcon,Peach,Fountain of Dreams,Player 1
588,diamond-diamond,Samus,Mr. Game & Watch,Battlefield,Player 2
589,master-platinum,Fox,Sheik,Fountain of Dreams,Player 2
590,platinum-platinum,Marth,Captain Falcon,Final Destination,Player 1
591,diamond-diamond,Captain Falcon,Marth,Final Destination,Player 1
592,platinum-platinum,Fox,Marth,Battlefield,Player 2
593,platinum-diamond,Fox,Ice Climbers,Yoshi’s Story,Player 2
594,master-master,Marth,Sheik,Final Destination,Player 2
595,diamond-diamond,Fox,Falco,Pokémon Stadium,Player 1
596,diamond-diamond,Ganondorf,Sheik,Yoshi’s Story,Player 2
597,platinum-platinum,Fox,Peach,Final Destination,Player 2
598,master-diamond,Fox,Fox,Final Destination,Player 1
599,platinum-platinum,Captain Falcon,Dr. Mario,Pokémon Stadium,Player 1
600,master-diamond,Fox,Falco,Pokémon Stadium,Player 1
601,master-master,Fox,Captain Falcon,Dream Land,Player 1
602,master-platinum,Fox,Yoshi,Yoshi’s Story,Player 1
603,platinum-platinum,Sheik,Falco,Final Destination,Player 1
604,platinum-diamond,Peach,Captain Falcon,Pokémon Stadium,Player 2
605,master-platinum,Fox,Marth,Battlefield,Player 1
606,master-master,Falco,Peach,Yoshi’s Story,Player 2
607,diamond-diamond,Falco,Fox,Final Destination,Player 2
608,platinum-platinum,Captain Falcon,Donkey Kong,Pokémon Stadium,Player 1
609,diamond-diamond,Fox,Falco,Yoshi’s Story,Player 2
610,master-master,Falco,Marth,Pokémon Stadium,Player 2
611,diamond-diamond,Marth,Samus,Battlefield,Player 2
612,platinum-diamond,Falco,Jigglypuff,Fountain of Dreams,Player 2
613,master-platinum,Captain Falcon,Jigglypuff,Final Destination,Player 1
614,diamond-diamond,Falco,Falco,Yoshi’s Story,Player 1
615,master-platinum,Fox,Link,Final Destination,Player 1
616,platinum-diamond,Falco,Samus,Yoshi’s Story,Player 2
617,platinum-diamond,Jigglypuff,Samus,Yoshi’s Story,Player 2
618,master-diamond,Samus,Sheik,Final Destination,Player 2
619,platinum-diamond,Falco,Samus,Final Destination,Player 2
620,master-diamond,Dr. Mario,Ganondorf,Dream Land,Player 2
621,master-platinum,Captain Falcon,Sheik,Yoshi’s Story,Player 1
622,master-diamond,Fox,Mewtwo,Pokémon Stadium,Player 2
623,master-master,Jigglypuff,Samus,Dream Land,Player 2
624,platinum-diamond,Sheik,Fox,Fountain of Dreams,Player 1
625,platinum-diamond,Sheik,Fox,Final Destination,Player 1
626,master-master,Peach,Ganondorf,Final Destination,Player 1
627,diamond-diamond,Samus,Falco,Fountain of Dreams,Player 1
628,diamond-diamond,Fox,Jigglypuff,Yoshi’s Story,Player 2
629,platinum-diamond,Falco,Jigglypuff,Fountain of Dreams,Player 2
630,diamond-diamond,Falco,Falco,Yoshi’s Story,Player 2
631,master-master,Marth,Captain Falcon,Final Destination,Player 1
632,master-master,Jigglypuff,Marth,Final Destination,Player 2
633,master-diamond,Ness,Ness,Final Destination,Player 1
634,platinum-diamond,Fox,Donkey Kong,Pokémon Stadium,Player 2
635,platinum-platinum,Falco,Falco,Yoshi’s Story,Player 1
636,diamond-diamond,Falco,Fox,Yoshi’s Story,Player 1
637,platinum-platinum,Falco,Luigi,Dream Land,Player 1
638,master-master,Yoshi,Falco,Battlefield,Player 2
639,master-master,Peach,Falco,Dream Land,Player 2
640,platinum-diamond,Ganondorf,Marth,Final Destination,Player 1
641,diamond-diamond,Falco,Fox,Final Destination,Player 2
642,diamond-diamond,Marth,Pikachu,Pokémon Stadium,Player 1
643,master-platinum,Mr. Game & Watch,Sheik,Final Destination,Player 1
644,platinum-diamond,Sheik,Sheik,Final Destination,Player 1
645,diamond-diamond,Fox,Fox,Final Destination,Player 2
646,master-diamond,Sheik,Falco,Final Destination,Player 1
647,master-platinum,Marth,Fox,Final Destination,Player 2
648,diamond-diamond,Fox,Fox,Yoshi’s Story,Player 1
649,platinum-diamond,Jigglypuff,Falco,Final Destination,Player 1
650,master-master,Fox,Luigi,Final Destination,Player 2
651,diamond-diamond,Jigglypuff,Fox,Final Destination,Player 2
652,master-master,Marth,Samus,Pokémon Stadium,Player 1
653,master-diamond,Captain Falcon,Sheik,Fountain of Dreams,Player 2
654,platinum-platinum,Peach,Captain Falcon,Battlefield,Player 2
655,master-platinum,Fox,Falco,Final Destination,Player 1
656,master-diamond,Fox,Ice Climbers,Pokémon Stadium,Player 1
657,platinum-diamond,Sheik,Fox,Pokémon Stadium,Player 2
658,master-diamond,Fox,Falco,Final Destination,Player 1
659,diamond-diamond,Fox,Marth,Fountain of Dreams,Player 2
660,diamond-diamond,Samus,Falco,Battlefield,Player 2
661,master-diamond,Falco,Fox,Yoshi’s Story,Player 2
662,platinum-platinum,Falco,Peach,Final Destination,Player 2
663,platinum-platinum,Falco,Young Link,Yoshi’s Story,Player 2
664,master-diamond,Falco,Ganondorf,Yoshi’s Story,Player 2
665,diamond-diamond,Ness,Fox,Final Destination,Player 2
666,master-master,Peach,Fox,Yoshi’s Story,Player 1
667,master-diamond,Fox,Luigi,Fountain of Dreams,Player 1
668,master-platinum,Jigglypuff,Fox,Pokémon Stadium,Player 1
669,master-diamond,Peach,Marth,Final Destination,Player 2
670,diamond-diamond,Ganondorf,Luigi,Yoshi’s Story,Player 1
671,diamond-diamond,Jigglypuff,Ness,Yoshi’s Story,Player 2
672,diamond-diamond,Mewtwo,Mr. Game & Watch,Yoshi’s Story,Player 2
673,master-master,Falco,Marth,Final Destination,Player 1
674,diamond-diamond,Marth,Luigi,Fountain of Dreams,Player 1
675,master-diamond,Falco,Falco,Pokémon Stadium,Player 1
676,master-master,Fox,Yoshi,Final Destination,Player 1
677,platinum-diamond,Fox,Peach,Battlefield,Player 1
678,platinum-platinum,Link,Peach,Dream Land,Player 1
679,diamond-diamond,Captain Falcon,Marth,Yoshi’s Story,Player 2
680,master-master,Fox,Sheik,Dream Land,Player 1
681,master-diamond,Jigglypuff,Fox,Final Destination,Player 1
682,master-master,Fox,Fox,Fountain of Dreams,Player 2
683,platinum-diamond,Sheik,Falco,Pokémon Stadium,Player 2
684,platinum-diamond,Fox,Falco,Pokémon Stadium,Player 2
685,master-master,Falco,Yoshi,Dream Land,Player 1
686,master-master,Falco,Yoshi,Pokémon Stadium,Player 1
687,master-platinum,Fox,Samus,Yoshi’s Story,Player 1
688,platinum-platinum,Peach,Fox,Dream Land,Player 2
689,master-diamond,Sheik,Yoshi,Final Destination,Player 2
690,master-master,Ice Climbers,Captain Falcon,Pokémon Stadium,Player 1
691,master-platinum,Marth,Falco,Pokémon Stadium,Player 1
692,diamond-diamond,Samus,Marth,Battlefield,Player 1
693,diamond-diamond,Falco,Falco,Pokémon Stadium,Player 2
694,diamond-diamond,Jigglypuff,Falco,Final Destination,Player 1
695,platinum-platinum,Marth,Captain Falcon,Yoshi’s Story,Player 1
696,platinum-platinum,Link,Marth,Final Destination,Player 1
697,diamond-diamond,Ice Climbers,Falco,Pokémon Stadium,Player 1
698,master-platinum,Fox,Peach,Final Destination,Player 2
699,master-master,Marth,Ganondorf,Yoshi’s Story,Player 2
700,diamond-diamond,Marth,Fox,Yoshi’s Story,Player 2
701,platinum-platinum,Ness,Peach,Battlefield,Player 1
702,diamond-diamond,Falco,Pichu,Pokémon Stadium,Player 2
703,master-platinum,Peach,Captain Falcon,Final Destination,Player 1
704,platinum-platinum,Falco,Falco,Final Destination,Player 2
705,diamond-diamond,Falco,Falco,Yoshi’s Story,Player 2
706,master-platinum,Marth,Samus,Final Destination,Player 2
707,platinum-diamond,Captain Falcon,Fox,Final Destination,Player 1
708,master-master,Marth,Fox,Yoshi’s Story,Player 2
709,platinum-platinum,Captain Falcon,Peach,Final Destination,Player 1
710,platinum-diamond,Fox,Dr. Mario,Final Destination,Player 2
711,master-platinum,Falco,Ice Climbers,Final Destination,Player 2
712,master-master,Captain Falcon,Falco,Battlefield,Player 1
713,platinum-platinum,Sheik,Fox,Final Destination,Player 2
714,master-master,Fox,Fox,Yoshi’s Story,Player 2
715,diamond-diamond,Sheik,Falco,Fountain of Dreams,Player 2
716,master-master,Sheik,Captain Falcon,Battlefield,Player 2
717,platinum-platinum,Marth,Fox,Final Destination,Player 2
718,diamond-diamond,Marth,Sheik,Final Destination,Player 2
719,diamond-diamond,Sheik,Mr. Game & Watch,Battlefield,Player 2
720,master-platinum,Pikachu,Captain Falcon,Yoshi’s Story,Player 1
721,master-diamond,Ganondorf,Falco,Yoshi’s Story,Player 1
722,master-diamond,Fox,Fox,Pokémon Stadium,Player 2
723,master-master,Ganondorf,Fox,Yoshi’s Story,Player 1
724,diamond-diamond,Falco,Captain Falcon,Final Destination,Player 2
725,diamond-diamond,Peach,Dr. Mario,Battlefield,Player 2
726,diamond-diamond,Peach,Falco,Dream Land,Player 1
727,platinum-diamond,Fox,Falco,Final Destination,Player 1
728,master-diamond,Falco,Fox,Yoshi’s Story,Player 1
729,master-platinum,Captain Falcon,Falco,Yoshi’s Story,Player 2
730,master-platinum,Marth,Pikachu,Yoshi’s Story,Player 2
731,master-diamond,Falco,Fox,Final Destination,Player 1
732,master-diamond,Ice Climbers,Sheik,Final Destination,Player 2
733,platinum-diamond,Sheik,Ganondorf,Final Destination,Player 2
734,diamond-diamond,Ice Climbers,Captain Falcon,Pokémon Stadium,Player 1
735,platinum-platinum,Falco,Dr. Mario,Yoshi’s Story,Player 2
736,platinum-platinum,Captain Falcon,Fox,Fountain of Dreams,Player 1
737,platinum-platinum,Captain Falcon,Falco,Fountain of Dreams,Player 1
738,diamond-diamond,Falco,Ice Climbers,Pokémon Stadium,Player 1
739,master-master,Ice Climbers,Fox,Yoshi’s Story,Player 1
740,diamond-diamond,Marth,Fox,Final Destination,Player 1
741,platinum-platinum,Captain Falcon,Pikachu,Fountain of Dreams,Player 1
742,diamond-diamond,Fox,Pikachu,Final Destination,Player 1
743,master-platinum,Falco,Marth,Pokémon Stadium,Player 1
744,diamond-diamond,Ice Climbers,Samus,Yoshi’s Story,Player 2
745,master-diamond,Falco,Falco,Fountain of Dreams,Player 1
746,platinum-platinum,Captain Falcon,Marth,Pokémon Stadium,Player 2
747,master-master,Sheik,Luigi,Final Destination,Player 1
748,master-diamond,Marth,Jigglypuff,Final Destination,Player 2
749,platinum-diamond,Sheik,Fox,Battlefield,Player 1
750,diamond-diamond,Falco,Fox,Final Destination,Player 2
751,master-master,Fox,Sheik,Pokémon Stadium,Player 1
752,diamond-diamond,Falco,Falco,Yoshi’s Story,Player 2
753,platinum-platinum,Fox,Jigglypuff,Fountain of Dreams,Player 1
754,diamond-diamond,Falco,Fox,Final Destination,Player 1
755,diamond-diamond,Falco,Falco,Pokémon Stadium,Player 2
756,master-diamond,Yoshi,Jigglypuff,Yoshi’s Story,Player 2
757,master-diamond,Peach,Fox,Dream Land,Player 1
758,platinum-platinum,Fox,Luigi,Battlefield,Player 1
759,platinum-platinum,Ness,Sheik,Dream Land,Player 2
760,master-diamond,Fox,Donkey Kong,Final Destination,Player 2
