Rank,Player 1,Player 2,Stage,Winner
master-master,Ice Climbers,Luigi,Final Destination,Player 2
master-master,Sheik,Ice Climbers,Dream Land,Player 1
master-master,Ice Climbers,Ganondorf,Final Destination,Player 1
master-master,Falco,Fox,Final Destination,Player 2
master-master,Fox,Falco,Dream Land,Player 2
master-master,Fox,Falco,Final Destination,Player 1
master-master,Ganondorf,Marth,Yoshi’s Story,Player 2
master-master,Jigglypuff,Jigglypuff,Final Destination,Player 2
master-master,Marth,Fox,Dream Land,Player 2
master-master,Falco,Sheik,Final Destination,Player 1
master-master,Fox,Falco,Final Destination,Player 2
master-master,Yoshi,Fox,Final Destination,Player 1
master-master,Fox,Captain Falcon,Final Destination,Player 1
master-master,Sheik,Fox,Battlefield,Player 2
master-master,Yoshi,Sheik,Final Destination,Player 2
master-master,Fox,Fox,Dream Land,Player 2
master-master,Yoshi,Young Link,Battlefield,Player 2
master-master,Jigglypuff,Marth,Yoshi’s Story,Player 1
master-master,Fox,Donkey Kong,Pokémon Stadium,Player 2
master-master,Ice Climbers,Fox,Final Destination,Player 2
master-master,Marth,Fox,Final Destination,Player 2
master-master,Fox,Yoshi,Dream Land,Player 2
master-master,Peach,Fox,Yoshi’s Story,Player 2
master-master,Falco,Fox,Dream Land,Player 2
master-master,Peach,Marth,Fountain of Dreams,Player 1
master-master,Peach,Captain Falcon,Yoshi’s Story,Player 2
master-master,Fox,Mr. Game & Watch,Yoshi’s Story,Player 1
master-master,Samus,Fox,Yoshi’s Story,Player 2
master-master,Samus,Falco,Yoshi’s Story,Player 2
master-master,Link,Peach,Final Destination,Player 1
master-master,Jigglypuff,Peach,Battlefield,Player 1
master-master,Link,Fox,Final Destination,Player 2
master-master,Captain Falcon,Peach,Pokémon Stadium,Player 1
master-master,Fox,Luigi,Final Destination,Player 2
master-master,Fox,Samus,Yoshi’s Story,Player 2
master-master,Ice Climbers,Falco,Pokémon Stadium,Player 2
master-master,Fox,Jigglypuff,Fountain of Dreams,Player 2
master-master,Fox,Yoshi,Battlefield,Player 1
master-master,Falco,Captain Falcon,Final Destination,Player 2
master-master,Yoshi,Falco,Pokémon Stadium,Player 1
master-master,Samus,Peach,Battlefield,Player 2
master-master,Donkey Kong,Fox,Final Destination,Player 2
master-master,Falco,Jigglypuff,Final Destination,Player 1
master-master,Ice Climbers,Yoshi,Final Destination,Player 2
master-master,Sheik,Marth,Yoshi’s Story,Player 1
master-master,Peach,Fox,Yoshi’s Story,Player 1
master-master,Link,Falco,Pokémon Stadium,Player 1
master-master,Fox,Fox,Yoshi’s Story,Player 1
master-master,Marth,Fox,Yoshi’s Story,Player 2
master-master,Captain Falcon,Fox,Final Destination,Player 2
master-master,Sheik,Fox,Fountain of Dreams,Player 1
master-master,Yoshi,Jigglypuff,Final Destination,Player 1
master-master,Samus,Falco,Fountain of Dreams,Player 2
master-master,Ice Climbers,Falco,Pokémon Stadium,Player 1
master-master,Falco,Fox,Dream Land,Player 2
master-master,Ganondorf,Fox,Yoshi’s Story,Player 1
master-master,Ganondorf,Sheik,Dream Land,Player 1
master-master,Fox,Pikachu,Final Destination,Player 1
master-master,Captain Falcon,Jigglypuff,Yoshi’s Story,Player 1
master-master,Yoshi,Captain Falcon,Final Destination,Player 2
master-master,Fox,Sheik,Fountain of Dreams,Player 1
master-master,Ganondorf,Luigi,Final Destination,Player 1
master-master,Jigglypuff,Peach,Yoshi’s Story,Player 2
master-master,Fox,Captain Falcon,Pokémon Stadium,Player 2
master-master,Marth,Fox,Final Destination,Player 1
master-master,Fox,Fox,Final Destination,Player 1
master-master,Falco,Fox,Yoshi’s Story,Player 2
master-master,Fox,Fox,Yoshi’s Story,Player 2
master-master,Captain Falcon,Marth,Battlefield,Player 1
master-master,Falco,Samus,Pokémon Stadium,Player 1
master-master,Captain Falcon,Falco,Final Destination,Player 1
master-master,Fox,Marth,Dream Land,Player 1
master-diamond,Falco,Jigglypuff,Fountain of Dreams,Player 1
master-diamond,Marth,Ganondorf,Pokémon Stadium,Player 2
master-diamond,Captain Falcon,Samus,Battlefield,Player 1
master-diamond,Falco,Sheik,Final Destination,Player 2
master-diamond,Jigglypuff,Fox,Final Destination,Player 1
master-diamond,Fox,Falco,Dream Land,Player 2
master-diamond,Mewtwo,Sheik,Dream Land,Player 2
master-diamond,Fox,Fox,Yoshi’s Story,Player 1
master-diamond,Marth,Sheik,Pokémon Stadium,Player 1
master-diamond,Captain Falcon,Fox,Pokémon Stadium,Player 2
master-diamond,Fox,Marth,Fountain of Dreams,Player 1
master-diamond,Marth,Fox,Yoshi’s Story,Player 1
master-diamond,Fox,Marth,Fountain of Dreams,Player 1
master-diamond,Fox,Fox,Final Destination,Player 2
master-diamond,Fox,Fox,Pokémon Stadium,Player 1
master-diamond,Fox,Luigi,Final Destination,Player 2
master-diamond,Falco,Peach,Final Destination,Player 1
master-diamond,Mr. Game & Watch,Mr. Game & Watch,Fountain of Dreams,Player 2
master-diamond,Peach,Fox,Final Destination,Player 1
master-diamond,Fox,Ness,Battlefield,Player 2
master-diamond,Sheik,Jigglypuff,Yoshi’s Story,Player 2
master-diamond,Fox,Captain Falcon,Final Destination,Player 2
master-diamond,Falco,Fox,Pokémon Stadium,Player 1
master-diamond,Pikachu,Marth,Fountain of Dreams,Player 1
master-diamond,Falco,Jigglypuff,Final Destination,Player 2
master-diamond,Marth,Fox,Pokémon Stadium,Player 1
master-diamond,Sheik,Fox,Yoshi’s Story,Player 2
master-diamond,Ice Climbers,Falco,Pokémon Stadium,Player 1
master-diamond,Yoshi,Fox,Fountain of Dreams,Player 1
master-diamond,Fox,Fox,Yoshi’s Story,Player 2
master-diamond,Marth,Marth,Pokémon Stadium,Player 2
master-diamond,Pikachu,Captain Falcon,Yoshi’s Story,Player 1
master-diamond,Jigglypuff,Falco,Final Destination,Player 1
master-diamond,Fox,Yoshi,Final Destination,Player 2
master-diamond,Jigglypuff,Fox,Fountain of Dreams,Player 1
master-diamond,Falco,Falco,Yoshi’s Story,Player 1
master-diamond,Fox,Falco,Dream Land,Player 1
master-diamond,Fox,Jigglypuff,Battlefield,Player 2
master-diamond,Peach,Ness,Yoshi’s Story,Player 2
master-diamond,Fox,Jigglypuff,Final Destination,Player 2
master-diamond,Jigglypuff,Falco,Yoshi’s Story,Player 1
master-diamond,Peach,Jigglypuff,Dream Land,Player 2
master-diamond,Jigglypuff,Fox,Battlefield,Player 2
master-diamond,Jigglypuff,Sheik,Final Destination,Player 1
master-diamond,Fox,Falco,Final Destination,Player 1
master-diamond,Sheik,Yoshi,Final Destination,Player 2
master-diamond,Yoshi,Captain Falcon,Final Destination,Player 1
master-diamond,Jigglypuff,Sheik,Yoshi’s Story,Player 1
master-diamond,Captain Falcon,Falco,Final Destination,Player 1
master-diamond,Falco,Fox,Yoshi’s Story,Player 1
master-diamond,Jigglypuff,Marth,Fountain of Dreams,Player 1
master-diamond,Fox,Falco,Dream Land,Player 2
master-diamond,Falco,Peach,Final Destination,Player 1
master-diamond,Falco,Jigglypuff,Pokémon Stadium,Player 1
master-diamond,Fox,Fox,Final Destination,Player 1
master-diamond,Jigglypuff,Fox,Yoshi’s Story,Player 2
master-diamond,Falco,Samus,Pokémon Stadium,Player 1
master-diamond,Falco,Marth,Pokémon Stadium,Player 2
master-diamond,Fox,Marth,Battlefield,Player 2
master-diamond,Falco,Fox,Yoshi’s Story,Player 1
master-diamond,Yoshi,Falco,Battlefield,Player 1
master-diamond,Jigglypuff,Pikachu,Final Destination,Player 1
master-diamond,Fox,Peach,Final Destination,Player 1
master-diamond,Ness,Ness,Final Destination,Player 1
master-diamond,Marth,Falco,Final Destination,Player 1
master-diamond,Jigglypuff,Fox,Final Destination,Player 1
master-diamond,Marth,Ice Climbers,Pokémon Stadium,Player 1
master-diamond,Fox,Falco,Yoshi’s Story,Player 1
master-diamond,Fox,Ness,Dream Land,Player 2
master-diamond,Falco,Captain Falcon,Yoshi’s Story,Player 2
master-diamond,Marth,Fox,Final Destination,Player 1
master-diamond,Marth,Sheik,Pokémon Stadium,Player 1
master-diamond,Yoshi,Falco,Yoshi’s Story,Player 2
master-diamond,Fox,Marth,Yoshi’s Story,Player 1
master-diamond,Falco,Captain Falcon,Final Destination,Player 1
master-diamond,Jigglypuff,Captain Falcon,Final Destination,Player 1
master-diamond,Fox,Sheik,Final Destination,Player 1
master-diamond,Ganondorf,Fox,Pokémon Stadium,Player 2
master-diamond,Peach,Marth,Fountain of Dreams,Player 2
master-diamond,Pikachu,Fox,Final Destination,Player 2
master-diamond,Yoshi,Fox,Final Destination,Player 1
master-diamond,Jigglypuff,Ganondorf,Final Destination,Player 1
master-diamond,Samus,Captain Falcon,Final Destination,Player 1
master-diamond,Marth,Jigglypuff,Fountain of Dreams,Player 1
master-diamond,Marth,Fox,Final Destination,Player 1
master-diamond,Fox,Donkey Kong,Final Destination,Player 2
master-diamond,Falco,Fox,Pokémon Stadium,Player 2
master-diamond,Marth,Falco,Dream Land,Player 1
master-diamond,Falco,Sheik,Yoshi’s Story,Player 1
master-diamond,Marth,Marth,Yoshi’s Story,Player 2
master-diamond,Sheik,Fox,Pokémon Stadium,Player 1
master-diamond,Falco,Peach,Final Destination,Player 1
master-diamond,Sheik,Marth,Final Destination,Player 1
master-diamond,Falco,Sheik,Dream Land,Player 1
master-diamond,Falco,Falco,Pokémon Stadium,Player 1
master-diamond,Fox,Zelda/Sheik,Yoshi’s Story,Player 2
master-diamond,Falco,Fox,Final Destination,Player 1
master-diamond,Falco,Marth,Pokémon Stadium,Player 2
master-diamond,Luigi,Marth,Final Destination,Player 1
master-diamond,Marth,Sheik,Pokémon Stadium,Player 1
master-diamond,Fox,Falco,Dream Land,Player 2
master-diamond,Fox,Marth,Fountain of Dreams,Player 2
master-diamond,Marth,Ganondorf,Yoshi’s Story,Player 2
master-diamond,Samus,Jigglypuff,Yoshi’s Story,Player 1
master-diamond,Captain Falcon,Falco,Final Destination,Player 1
master-diamond,Falco,Ness,Fountain of Dreams,Player 1
master-diamond,Sheik,Fox,Pokémon Stadium,Player 1
master-diamond,Fox,Falco,Pokémon Stadium,Player 1
master-diamond,Captain Falcon,Falco,Battlefield,Player 2
master-diamond,Marth,Jigglypuff,Final Destination,Player 1
master-diamond,Samus,Falco,Final Destination,Player 1
master-diamond,Peach,Jigglypuff,Fountain of Dreams,Player 1
master-diamond,Samus,Bowser,Battlefield,Player 1
master-diamond,Fox,Captain Falcon,Battlefield,Player 1
master-diamond,Fox,Marth,Pokémon Stadium,Player 2
master-diamond,Marth,Falco,Pokémon Stadium,Player 1
master-diamond,Dr. Mario,Yoshi,Yoshi’s Story,Player 2
master-diamond,Falco,Falco,Pokémon Stadium,Player 1
master-diamond,Peach,Fox,Pokémon Stadium,Player 2
master-diamond,Falco,Fox,Yoshi’s Story,Player 1
master-diamond,Fox,Falco,Final Destination,Player 1
master-diamond,Sheik,Falco,Yoshi’s Story,Player 1
master-diamond,Fox,Luigi,Fountain of Dreams,Player 1
master-diamond,Luigi,Fox,Pokémon Stadium,Player 1
master-diamond,Falco,Marth,Yoshi’s Story,Player 1
master-diamond,Ganondorf,Falco,Final Destination,Player 1
master-diamond,Falco,Fox,Battlefield,Player 2
master-diamond,Sheik,Fox,Fountain of Dreams,Player 2
master-diamond,Captain Falcon,Fox,Final Destination,Player 1
master-diamond,Captain Falcon,Fox,Pokémon Stadium,Player 1
master-diamond,Fox,Falco,Pokémon Stadium,Player 1
master-diamond,Marth,Falco,Yoshi’s Story,Player 1
master-diamond,Falco,Marth,Final Destination,Player 2
master-diamond,Marth,Young Link,Final Destination,Player 1
master-diamond,Fox,Peach,Final Destination,Player 1
master-diamond,Fox,Peach,Dream Land,Player 1
master-diamond,Peach,Pikachu,Battlefield,Player 1
master-diamond,Falco,Falco,Pokémon Stadium,Player 2
master-diamond,Fox,Fox,Final Destination,Player 1
master-diamond,Fox,Fox,Yoshi’s Story,Player 1
master-diamond,Falco,Fox,Pokémon Stadium,Player 2
master-diamond,Mewtwo,Falco,Pokémon Stadium,Player 2
master-diamond,Falco,Link,Pokémon Stadium,Player 2
master-diamond,Fox,Falco,Final Destination,Player 2
master-diamond,Samus,Jigglypuff,Final Destination,Player 1
master-diamond,Falco,Fox,Dream Land,Player 1
master-diamond,Sheik,Mr. Game & Watch,Fountain of Dreams,Player 2
master-diamond,Dr. Mario,Yoshi,Pokémon Stadium,Player 1
master-diamond,Falco,Pikachu,Yoshi’s Story,Player 1
master-master,Falco,Fox,Fountain of Dreams,Player 2
master-master,Falco,Marth,Pokémon Stadium,Player 1
master-master,Fox,Yoshi,Final Destination,Player 2
master-master,Sheik,Fox,Dream Land,Player 1
master-master,Marth,Fox,Yoshi’s Story,Player 1
master-master,Peach,Ganondorf,Final Destination,Player 1
master-master,Sheik,Fox,Dream Land,Player 2
master-master,Pikachu,Marth,Final Destination,Player 2
master-master,Marth,Falco,Final Destination,Player 1
master-master,Sheik,Falco,Yoshi’s Story,Player 2
master-master,Fox,Sheik,Dream Land,Player 1
master-master,Marth,Sheik,Fountain of Dreams,Player 1
master-master,Falco,Fox,Final Destination,Player 2
master-master,Fox,Captain Falcon,Battlefield,Player 2
master-master,Peach,Marth,Fountain of Dreams,Player 2
master-master,Jigglypuff,Fox,Fountain of Dreams,Player 1
master-master,Fox,Sheik,Dream Land,Player 2
master-master,Pikachu,Bowser,Yoshi’s Story,Player 1
master-master,Marth,Jigglypuff,Battlefield,Player 1
master-master,Samus,Fox,Pokémon Stadium,Player 2
master-master,Marth,Ganondorf,Yoshi’s Story,Player 2
master-master,Falco,Sheik,Final Destination,Player 2
master-master,Fox,Yoshi,Pokémon Stadium,Player 1
master-master,Falco,Peach,Yoshi’s Story,Player 2
master-master,Marth,Captain Falcon,Final Destination,Player 2
master-master,Jigglypuff,Fox,Fountain of Dreams,Player 1
master-master,Dr. Mario,Falco,Final Destination,Player 1
master-master,Jigglypuff,Samus,Pokémon Stadium,Player 2
master-master,Falco,Falco,Yoshi’s Story,Player 1
master-master,Fox,Falco,Final Destination,Player 1
master-master,Peach,Ganondorf,Final Destination,Player 1
master-master,Fox,Ganondorf,Yoshi’s Story,Player 1
master-master,Mr. Game & Watch,Ganondorf,Final Destination,Player 1
master-master,Ice Climbers,Fox,Yoshi’s Story,Player 1
master-master,Fox,Fox,Final Destination,Player 2
master-master,Sheik,Fox,Pokémon Stadium,Player 2
master-master,Falco,Jigglypuff,Final Destination,Player 2
platinum-diamond,Sheik,Falco,Pokémon Stadium,Player 2
platinum-diamond,Jigglypuff,Falco,Final Destination,Player 1
platinum-diamond,Fox,Peach,Yoshi’s Story,Player 1
platinum-diamond,Jigglypuff,Falco,Fountain of Dreams,Player 2
platinum-diamond,Peach,Peach,Battlefield,Player 2
platinum-diamond,Jigglypuff,Sheik,Final Destination,Player 1
platinum-diamond,Peach,Samus,Yoshi’s Story,Player 2
platinum-diamond,Captain Falcon,Sheik,Final Destination,Player 1
platinum-diamond,Samus,Fox,Pokémon Stadium,Player 1
platinum-diamond,Captain Falcon,Sheik,Final Destination,Player 1
platinum-diamond,Peach,Ice Climbers,Battlefield,Player 1
platinum-diamond,Marth,Dr. Mario,Final Destination,Player 1
platinum-diamond,Fox,Captain Falcon,Pokémon Stadium,Player 1
platinum-diamond,Captain Falcon,Captain Falcon,Pokémon Stadium,Player 2
platinum-diamond,Jigglypuff,Fox,Final Destination,Player 1
platinum-diamond,Fox,Fox,Yoshi’s Story,Player 1
platinum-diamond,Fox,Peach,Yoshi’s Story,Player 1
platinum-diamond,Jigglypuff,Captain Falcon,Battlefield,Player 2
platinum-diamond,Fox,Falco,Yoshi’s Story,Player 2
platinum-diamond,Fox,Sheik,Dream Land,Player 1
platinum-diamond,Falco,Ice Climbers,Final Destination,Player 2
platinum-diamond,Fox,Marth,Fountain of Dreams,Player 2
platinum-diamond,Falco,Sheik,Yoshi’s Story,Player 2
platinum-diamond,Peach,Fox,Fountain of Dreams,Player 2
master-master,Fox,Jigglypuff,Fountain of Dreams,Player 1
master-master,Yoshi,Sheik,Final Destination,Player 1
master-master,Fox,Ice Climbers,Yoshi’s Story,Player 2
master-master,Samus,Fox,Final Destination,Player 2
master-master,Fox,Sheik,Fountain of Dreams,Player 1
master-master,Marth,Captain Falcon,Final Destination,Player 2
master-master,Peach,Jigglypuff,Fountain of Dreams,Player 1
master-master,Falco,Samus,Yoshi’s Story,Player 2
master-master,Samus,Fox,Yoshi’s Story,Player 1
master-master,Fox,Fox,Pokémon Stadium,Player 1
master-master,Marth,Samus,Yoshi’s Story,Player 2
master-master,Sheik,Sheik,Final Destination,Player 1
master-master,Falco,Falco,Battlefield,Player 1
master-master,Fox,Captain Falcon,Battlefield,Player 1
master-master,Fox,Sheik,Dream Land,Player 2
master-master,Sheik,Falco,Fountain of Dreams,Player 1
master-master,Captain Falcon,Fox,Final Destination,Player 2
master-master,Fox,Fox,Dream Land,Player 1
master-master,Jigglypuff,Peach,Battlefield,Player 1
master-master,Sheik,Fox,Pokémon Stadium,Player 2
master-master,Yoshi,Samus,Battlefield,Player 1
master-master,Fox,Fox,Fountain of Dreams,Player 2
master-master,Sheik,Fox,Dream Land,Player 1
master-master,Captain Falcon,Fox,Yoshi’s Story,Player 1
master-master,Jigglypuff,Marth,Final Destination,Player 2
master-master,Fox,Falco,Pokémon Stadium,Player 2
master-master,Sheik,Fox,Dream Land,Player 1
master-master,Marth,Captain Falcon,Battlefield,Player 2
master-master,Captain Falcon,Fox,Final Destination,Player 2
master-master,Sheik,Fox,Final Destination,Player 2
master-master,Sheik,Fox,Pokémon Stadium,Player 1
master-master,Link,Fox,Pokémon Stadium,Player 2
master-master,Falco,Fox,Yoshi’s Story,Player 1
master-master,Fox,Peach,Battlefield,Player 1
master-master,Marth,Donkey Kong,Battlefield,Player 1
master-master,Fox,Captain Falcon,Dream Land,Player 1
master-master,Fox,Fox,Yoshi’s Story,Player 1
master-master,Falco,Sheik,Final Destination,Player 2
master-master,Falco,Marth,Dream Land,Player 2
master-master,Falco,Marth,Yoshi’s Story,Player 1
master-master,Fox,Sheik,Fountain of Dreams,Player 1
master-master,Falco,Ganondorf,Yoshi’s Story,Player 1
master-master,Fox,Sheik,Final Destination,Player 1
master-master,Falco,Pikachu,Final Destination,Player 2
master-master,Fox,Peach,Fountain of Dreams,Player 2
master-master,Samus,Falco,Battlefield,Player 2
master-master,Marth,Falco,Pokémon Stadium,Player 2
master-master,Ice Climbers,Yoshi,Final Destination,Player 1
master-master,Marth,Fox,Fountain of Dreams,Player 2
master-master,Jigglypuff,Samus,Fountain of Dreams,Player 2
master-master,Captain Falcon,Fox,Final Destination,Player 2
master-master,Sheik,Ganondorf,Final Destination,Player 2
master-master,Sheik,Fox,Pokémon Stadium,Player 1
master-master,Young Link,Luigi,Pokémon Stadium,Player 1
master-master,Luigi,Marth,Pokémon Stadium,Player 1
master-master,Fox,Marth,Pokémon Stadium,Player 1
master-master,Fox,Falco,Yoshi’s Story,Player 1
master-master,Yoshi,Luigi,Final Destination,Player 2
master-master,Sheik,Luigi,Yoshi’s Story,Player 2
